keys,zh_TW,en
"UP_AFFECTCOUNT","影響數量","Targets Affected"
"UP_PCTDMG","%傷害","% Damage"
"UP_BOSSFLAT","對boss固定傷害","Flat Boss Damage"
"UP_LENGTH","長度","Length"
"TOWER_ARROW_NAME","箭塔","Arrow Tower"
"TOWER_ARROW_DESC","單體快速物理攻擊","Fast single-target physical shots"
"TOWER_ARROW_LORE","箭塔以穩定節奏鎖定射程圈內最近的單一敵人放箭,是可靠的基礎輸出。強化暴擊與雙重射擊後,單體爆發顯著提升。","The Arrow Tower looses shafts at a steady rhythm, always picking the nearest enemy inside its ring — dependable, unglamorous damage. Invest in crits and double shots and its single-target burst climbs sharply."
"TOWER_CANNON_NAME","加農砲台","Cannon Battery"
"TOWER_CANNON_DESC","拋物線範圍爆炸,攻速慢","Lobbed shells, slow but explosive"
"TOWER_CANNON_LORE","加農砲台拋射砲彈,落點造成範圍爆炸傷害,適合清理成群小怪。攻速較慢,講求預判落點;破甲與擊退進一步強化控場。","The Cannon Battery lobs shells that detonate where they land, shredding tight packs of small enemies. It reloads slowly, so placement and lead matter; armor pierce and knockback turn it into a control piece."
"TOWER_LIGHTNING_NAME","雷電塔","Thunder Spire"
"TOWER_LIGHTNING_DESC","連鎖閃電跳目標","Lightning that arcs between targets"
"TOWER_LIGHTNING_LORE","雷電塔射出閃電,在鄰近敵人之間連鎖跳躍,每跳一次傷害衰減。密集路段可同時削弱多個目標;提升連鎖數與降低衰減後覆蓋更廣。","The Thunder Spire throws a bolt that leaps from body to body, weakening with every hop. On a crowded stretch of road it grinds down several enemies at once; more chains and less falloff widen its reach."
"TOWER_FIREBALL_NAME","火球塔","Fireball Tower"
"TOWER_FIREBALL_DESC","直射加燃燒","Direct hit plus lingering burn"
"TOWER_FIREBALL_LORE","火球塔直射火焰,命中後附加持續燃燒傷害,對高血量目標尤其有效。燃燒可延長時間;爆燃機率觸發時瞬間引爆剩餘燃燒。","The Fireball Tower hurls flame straight ahead and leaves the target burning — brutal against anything with a deep health pool. Burns can be stretched longer, and a detonation roll blows the remaining burn all at once."
"TOWER_FROST_NAME","冰霜塔","Frost Tower"
"TOWER_FROST_DESC","攻擊附帶減速","Every hit chills and slows"
"TOWER_FROST_LORE","冰霜塔攻擊附帶減速,令敵人更久停留在火網內;命中有機率完全冰凍目標。減速幅度與冰凍率是它的控場核心。","Every frost shard slows what it touches, holding enemies inside your kill zone far longer; some hits freeze the target outright. Slow power and freeze chance are the heart of its control."
"TOWER_POISON_NAME","毒液塔","Venom Tower"
"TOWER_POISON_DESC","疊層毒,無視護甲","Stacking poison that ignores armor"
"TOWER_POISON_LORE","毒液塔疊加毒層造成持續傷害,並無視敵人護甲;毒層越高傷害越猛。敵人死亡時毒素向周圍擴散,引發連環中毒。","The Venom Tower layers poison stacks that eat through health regardless of armor — the deeper the stack, the faster it kills. When a poisoned enemy dies the toxin bursts outward and infects its neighbours."
"TOWER_SNIPER_NAME","狙擊塔","Sniper Nest"
"TOWER_SNIPER_DESC","超遠程高傷,優先高血","Extreme range, targets the toughest"
"TOWER_SNIPER_LORE","狙擊塔擁有全場最遠射程,優先狙擊高血量目標並打出高額單發傷害。血量低於處決線可被即殺;貫穿讓子彈洞穿多個目標。","The Sniper Nest reaches further than anything else on the field and always picks the healthiest target for a single crushing shot. Anything below the execute threshold dies instantly, and pierce sends the round through the rank behind it."
"TOWER_GATLING_NAME","機槍塔","Gatling Tower"
"TOWER_GATLING_DESC","鎖同目標攻速遞增","Fire rate climbs while locked on"
"TOWER_GATLING_LORE","機槍塔持續鎖定同一目標時攻速不斷攀升,越打越快;切換目標會重置熱度。是對付單一厚血敵人的利器。","Hold the Gatling Tower on one target and its barrels spin ever faster — the longer it fires, the harder it hits. Switching targets dumps all that heat, so it excels against a single armored bruiser."
"TOWER_MORTAR_NAME","迫擊砲","Siege Mortar"
"TOWER_MORTAR_DESC","超遠程大範圍","Long-range saturation fire"
"TOWER_MORTAR_LORE","迫擊砲超遠程曲射,對落點大範圍轟炸,但有最小射程死角。彈片分裂可波及更多敵人;燒灼地面造成殘留傷害。","The Siege Mortar arcs shells across almost the whole map and saturates the impact zone — but it cannot hit anything standing too close. Shrapnel widens the spread; scorched ground keeps burning after the blast."
"TOWER_BEAM_NAME","光束塔","Beam Tower"
"TOWER_BEAM_DESC","持續光束,鎖定愈久愈痛","A sustained beam that keeps ramping"
"TOWER_BEAM_LORE","光束塔發射持續光束,鎖定同一目標越久傷害越高。融甲讓後續傷害穿透護甲;雙光束可同時照射兩個目標。","The Beam Tower pours an unbroken lance of light into its target, and the damage climbs the longer it holds. Armor melt strips protection as it burns; a twin beam splits the assault across two enemies."
"TOWER_SLOWFIELD_NAME","緩速力場塔","Slowing Field"
"TOWER_SLOWFIELD_DESC","無傷光環減速","A damage-free aura that slows"
"TOWER_SLOWFIELD_LORE","緩速力場塔本身不造成傷害,以光環大幅減速範圍內所有敵人;脆弱效果令其受到額外傷害。可強化為對 boss 同樣有效。","The Slowing Field deals no damage of its own; instead its aura drags every enemy inside it to a crawl and leaves them vulnerable to extra damage. Upgraded far enough, it bites into bosses just as hard."
"TOWER_ALCHEMY_NAME","鍊金塔","Alchemy Tower"
"TOWER_ALCHEMY_DESC","定期產出金幣","Mints gold on a timer"
"TOWER_ALCHEMY_LORE","鍊金塔不攻擊,定期自動產出金幣,是經濟核心。範圍內擊殺可獲得額外賞金,開場更提供一筆啟動資金。","The Alchemy Tower never fires a shot — it simply turns time into gold, and it is the backbone of your economy. Kills inside its circle pay a bounty, and it hands you a lump of starting capital the moment the wave begins."
"TOWER_BARRACKS_NAME","兵營塔","Barracks Tower"
"TOWER_BARRACKS_DESC","派士兵落路面堵路","Sends soldiers to block the road"
"TOWER_BARRACKS_LORE","兵營塔派出士兵駐守路面,以肉身阻擋敵人前進並近身纏鬥;士兵陣亡後定期重生。增兵與護甲讓防線更穩固。","The Barracks Tower posts soldiers on the road itself, stopping the advance with their bodies and tying enemies up in melee; the fallen are replaced on a timer. More bodies and heavier armor make the wall hold."
"TOWER_BOOMERANG_NAME","迴旋鏢塔","Boomerang Tower"
"TOWER_BOOMERANG_DESC","來回穿透打沿途所有怪","Pierces everything, coming and going"
"TOWER_BOOMERANG_LORE","迴旋鏢塔擲出迴旋鏢,去程與回程都會貫穿路徑上所有敵人。回程可附加額外傷害;多鏢齊發覆蓋更廣路段。","The Boomerang Tower throws a blade that cuts through every enemy on its way out and again on its way home. The return pass can be sharpened further, and extra blades blanket a longer stretch of road."
"TOWER_THORN_NAME","荊棘塔","Bramble Tower"
"TOWER_THORN_DESC","對鄰近路段持續傷害(飛行無效)","Constant damage to nearby road (not fliers)"
"TOWER_THORN_LORE","荊棘塔對鄰近路段持續造成傷害,但對飛行敵人無效;流血可疊加。對重型敵人有額外加成,是近戰路段的穩定消耗。","The Bramble Tower rips at anything walking the road beside it — but thorns cannot reach what flies. Bleed stacks pile up, and heavy enemies take extra punishment, making it a steady grinder on close-quarters lanes."
"TOWER_MISSILE_NAME","導彈塔","Missile Tower"
"TOWER_MISSILE_DESC","超遠程追蹤導彈,專剋 boss 同大型","Long-range homing missiles, boss killer"
"TOWER_MISSILE_LORE","導彈塔以全場第二遠的射程發射追蹤導彈,飛彈全程鎖定目標。對 boss 與大型敵人有巨幅加成,是點名首領的專職武器;但爆炸範圍細,清雜兵海遠不如加農砲台與迫擊砲。","With the second-longest reach on the field, the Missile Tower launches warheads that track their mark all the way in. Against bosses and heavy units the bonus damage is enormous — this is the tower you build to name a target. Its blast is tiny, though, so it clears a swarm far worse than a Cannon Battery or Siege Mortar."
"TOWER_CURSE_NAME","詛咒塔","Curse Tower"
"TOWER_CURSE_DESC","常駐詛咒光環:圈內敵人受傷加深、死亡多掉金","Hex aura: more damage taken, more gold dropped"
"TOWER_CURSE_LORE","詛咒塔不攻擊,以常駐光環籠罩路段:圈內敵人(含 boss)受到的傷害大幅加深,走出光環後仍殘留片刻。被詛咒者陣亡時額外掉金,所以它同時是放大器與經濟塔 —— 但必須擺在已有輸出塔的位置。多座光環的放大不疊加(取最高)。","The Curse Tower never attacks. It drapes a standing hex over a stretch of road: everything inside it — bosses included — takes markedly more damage, and the mark lingers for a moment after they walk out. Cursed enemies drop extra gold when they die, so it is amplifier and economy in one — but only where damage towers already stand. Overlapping auras do not stack; the strongest one wins."
"TOWER_HOLY_NAME","聖光塔","Radiance Tower"
"TOWER_HOLY_DESC","傷害加光環加持攻速","Damage plus a fire-rate aura"
"TOWER_HOLY_LORE","聖光塔造成聖屬傷害,並以光環提升周圍友方塔的攻速;淨化可移除敵人增益。是輔助與輸出兼備的核心塔。","The Radiance Tower burns with holy damage while its aura quickens every friendly tower around it; purify strips buffs off the enemy. Support and firepower in the same emplacement."
"TOWER_MAGNET_NAME","磁力塔","Magnet Tower"
"TOWER_MAGNET_DESC","週期脈衝擊退敵人","Pulses that shove enemies back"
"TOWER_MAGNET_LORE","磁力塔週期性釋放脈衝,將範圍內敵人擊退拉回,延緩其推進;擊退後附帶減速。對重型敵人亦有一定效果。","The Magnet Tower fires a pulse on a cycle, dragging everything in range backwards and stalling the advance; the shove leaves them slowed. Even heavy units feel some of the pull."
"TOWER_TELEPORT_NAME","傳送塔","Warp Tower"
"TOWER_TELEPORT_DESC","機率將敵人傳返後方","Chance to warp enemies backwards"
"TOWER_TELEPORT_LORE","傳送塔有機率將敵人傳送回後方路段,大幅拖延其行程;傳送後可附帶暈眩。對同一目標的傳送次數設有上限。","The Warp Tower may snatch an enemy and drop it back down the road, wiping out much of its progress; the arrival can leave it stunned. Any single target can only be sent back so many times."
"SPELL_METEOR_NAME","隕石術","Meteor Strike"
"SPELL_METEOR_DESC","指定位置大範圍傷害","Massive damage at a chosen point"
"SPELL_METEOR_LORE","在指定位置召喚隕石,對大範圍造成瞬間傷害,最適合砸向密集的敵群。","Calls a burning rock down on a spot you choose, flattening a wide circle in an instant — best dropped straight onto a packed crowd."
"SPELL_STORMBOLT_NAME","閃電風暴","Lightning Storm"
"SPELL_STORMBOLT_DESC","全場隨機落雷","Bolts strike at random across the field"
"SPELL_STORMBOLT_LORE","全場隨機落下多道閃電,每道造成單體傷害;落雷數越多,清場越快。","Bolts hammer down all over the map, each one striking a single enemy; the more bolts fall, the faster the field clears."
"SPELL_FREEZENOVA_NAME","冰凍新星","Frost Nova"
"SPELL_FREEZENOVA_DESC","全場怪冰凍","Freezes every enemy on the map"
"SPELL_FREEZENOVA_LORE","凍結全場敵人一段時間,解凍後仍殘留減速,是危急時的保命大招。","Locks every enemy in ice for a spell, and they stay sluggish after the thaw — the button you press when the line is about to break."
"SPELL_MIASMA_NAME","劇毒瘴氣","Toxic Miasma"
"SPELL_MIASMA_DESC","指定區域持續毒傷","Lingering poison over an area"
"SPELL_MIASMA_LORE","在指定區域釋放毒瘴,持續對範圍內敵人造成每秒毒傷。","Releases a cloud of venom over the chosen ground, eating away at everything that stands or walks in it."
"SPELL_SUMMON_NAME","召喚民兵","Summon Militia"
"SPELL_SUMMON_DESC","路面召喚士兵堵路","Drops soldiers onto the road"
"SPELL_SUMMON_LORE","在路面召喚民兵堵路,以肉身拖住敵人推進的節奏。","Calls up militia in the middle of the road to buy you time with their bodies."
"SPELL_MIDAS_NAME","點金術","Midas Touch"
"SPELL_MIDAS_DESC","即得金幣","Instant gold"
"SPELL_MIDAS_LORE","立即獲得一筆金幣,持續期間擊殺敵人還可額外生財。","Hands you a purse of gold on the spot, and for a while afterwards every kill pays a little extra."
"SPELL_TIMEWARP_NAME","時間扭曲","Time Warp"
"SPELL_TIMEWARP_DESC","全場怪減速","Slows every enemy"
"SPELL_TIMEWARP_LORE","扭曲時間,令全場敵人大幅減速一段時間。","Bends time around the battlefield, dragging every enemy to a crawl for a while."
"SPELL_WARCRY_NAME","戰吼","War Cry"
"SPELL_WARCRY_DESC","全塔攻速提升","All towers fire faster"
"SPELL_WARCRY_LORE","鼓舞全軍,短時間內所有塔的攻速一同提升。","A roar down the line — for a short burst every tower you own fires noticeably faster."
"SPELL_BARRIER_NAME","守護結界","Aegis Barrier"
"SPELL_BARRIER_DESC","基地護盾抵擋入侵","Shields the keep from breaches"
"SPELL_BARRIER_LORE","為基地張開結界,可抵擋數次入侵,並附帶反傷。","Raises a ward over the keep that swallows a few breaches outright, and burns whatever runs into it."
"SPELL_TORNADO_NAME","龍捲風","Tornado"
"SPELL_TORNADO_DESC","沿路將敵人推返後方","Blows enemies back down the road"
"SPELL_TORNADO_LORE","沿路捲起龍捲風,將途經的敵人一併推回後方。","Tears a whirlwind along the road, hurling everything it passes back the way it came."
"SPELL_QUAKE_NAME","地震術","Earthquake"
"SPELL_QUAKE_DESC","全場地面怪%HP傷害","% max-HP damage to all ground enemies"
"SPELL_QUAKE_LORE","地震撼動全場,對地面敵人造成當前生命值百分比傷害,對 boss 造成固定重傷。","The ground heaves across the whole map, tearing a percentage of health from every enemy on foot and landing a heavy fixed blow on the boss."
"SPELL_FIREWALL_NAME","烈焰之牆","Wall of Flame"
"SPELL_FIREWALL_DESC","指定路段生成火牆","Sets a stretch of road ablaze"
"SPELL_FIREWALL_LORE","在指定路段生成火牆,對經過的敵人持續灼燒。","Raises a curtain of fire across the road; anything that walks through it keeps burning."
"SPELL_SMITE_NAME","天雷誅殺","Heaven's Wrath"
"SPELL_SMITE_DESC","點選單一目標巨大傷害","Colossal damage to one target"
"SPELL_SMITE_LORE","對單一目標降下天雷造成巨大傷害,對 boss 有額外加成。","Calls down a pillar of judgement on one chosen enemy — devastating on anything, and it bites even deeper into a boss."
"SPELL_EMP_NAME","磁暴脈衝","EMP Surge"
"SPELL_EMP_DESC","指定範圍暈眩","Stuns everything in an area"
"SPELL_EMP_LORE","在指定範圍釋放磁暴,暈眩其中所有敵人。","Detonates a magnetic storm over the target zone, leaving everything inside it stunned."
"SPELL_BLACKHOLE_NAME","黑洞","Black Hole"
"SPELL_BLACKHOLE_DESC","指定位置吸住敵人","Pins enemies at a chosen point"
"SPELL_BLACKHOLE_LORE","在指定位置製造黑洞,吸住並持續傷害範圍內的敵人。","Tears open a singularity that holds enemies in place and grinds them down while it lasts."
"FAM_GOBLIN_NAME","哥布林族","Goblins"
"FAM_GOBLIN_MECH","普通雜兵,無特殊能力,慣以數量取勝。","Rank-and-file rabble with no special tricks — they win by sheer numbers."
"FAM_GOBLIN_BOSS","首領技:定期召喚小哥布林增援。","Boss skill: summons goblin reinforcements at regular intervals."
"FAM_WOLF_NAME","妖狼族","Dire Wolves"
"FAM_WOLF_MECH","移動極快的野獸,血量偏低但難以攔截。","Fast-moving beasts — thin-skinned, but very hard to pin down."
"FAM_WOLF_BOSS","暴怒:受擊後短暫狂暴,移速大增。","Frenzy: after taking a hit it goes berserk and its speed spikes."
"FAM_SKELETON_NAME","骷髏族","Skeletons"
"FAM_SKELETON_MECH","陣亡後有機會原地復活一次;略帶魔抗。","May claw its way back up once after falling; carries some magic resistance."
"FAM_SKELETON_BOSS","亡靈光環:周圍骷髏最多可復活兩次,第二次只回復一半生命。","Undead Aura: nearby skeletons rise up to twice, the second time at half health."
"FAM_GOLEM_NAME","石魔族","Stone Golems"
"FAM_GOLEM_MECH","高護甲重甲兵,大幅減免物理傷害,移動緩慢。","Heavily armored and slow, shrugging off most physical damage."
"FAM_GOLEM_BOSS","石化:定期進入短暫無敵狀態。","Petrify: periodically turns to solid stone and becomes untouchable."
"FAM_GHOST_NAME","幽靈族","Wraiths"
"FAM_GHOST_MECH","週期虛化,虛化期間無法被鎖定;高魔抗。","Phases out on a cycle and cannot be targeted while it does; high magic resistance."
"FAM_GHOST_BOSS","疾影:虛化時移動速度更快。","Swiftshade: moves far faster while phased."
"FAM_BAT_NAME","蝠魔族","Batfiends"
"FAM_BAT_MECH","飛行單位,無視地面陷阱與近戰堵路。","Airborne — ignores ground hazards and anything blocking the road."
"FAM_BAT_BOSS","俯衝:定期加速突進。","Dive: periodically accelerates into a sudden lunge."
"FAM_TREANT_NAME","樹妖族","Treants"
"FAM_TREANT_MECH","持續自我回復生命,消耗戰極為棘手。","Regenerates constantly — a nightmare in a war of attrition."
"FAM_TREANT_BOSS","扎根:低血時定身詠唱回復,詠唱期間受到的傷害會抵銷回復量,暈眩可直接打斷。","Take Root: at low health it roots and channels a heal — damage dealt during the cast cancels it point for point, and a stun breaks it outright."
"FAM_BEETLE_NAME","甲蟲族","Beetles"
"FAM_BEETLE_MECH","硬殼:單次所受傷害有上限,懼怕持續傷害。","Hard Shell: caps the damage of any single hit — but it fears damage over time."
"FAM_BEETLE_BOSS","堅甲反震:受到的傷害整體降低。","Ironshell: reduces all incoming damage."
"FAM_CULTIST_NAME","巫教族","Cultists"
"FAM_CULTIST_MECH","光環:持續治療並加速周圍同伴。","Aura: continuously heals and hastens everything around it."
"FAM_CULTIST_BOSS","群療:定期治療全場敵人。","Mass Heal: periodically heals every enemy on the field."
"FAM_SLIME_NAME","史萊姆族","Slimes"
"FAM_SLIME_MECH","陣亡時分裂成兩隻較小的史萊姆。","Splits into two smaller slimes when killed."
"FAM_SLIME_BOSS","增殖:定期分裂出小史萊姆。","Proliferate: keeps spawning smaller slimes on a timer."
